id,repo,target_file,kind,signature,base_status,base_compiles,base_files,base_secs,base_hash,new_status,new_compiles,new_files,new_secs,new_hash
junit4-0086,junit4,org/junit/runner/Description.java,method,"org.junit.runner.Description#createSuiteDescription(String,Annotation...)",ok,compiles,1,5.4,0672656b5979,ok,compiles,1,5.3,0672656b5979
junit4-0087,junit4,org/junit/internal/runners/ErrorReportingRunner.java,method,"org.junit.internal.runners.ErrorReportingRunner#run(RunNotifier)",ok,compiles,4,5.5,c841cda36dea,ok,compiles,4,5.5,c841cda36dea
junit4-0088,junit4,org/junit/internal/builders/AllDefaultPossibilitiesBuilder.java,method,"org.junit.internal.builders.AllDefaultPossibilitiesBuilder#AllDefaultPossibilitiesBuilder()",ok,compiles,2,5.7,6fef8173ce84,ok,compiles,2,5.2,6fef8173ce84
junit4-0089,junit4,org/junit/runners/model/MultipleFailureException.java,method,"org.junit.runners.model.MultipleFailureException#getFailures()",ok,compiles,1,5.0,fcf98011ad2d,ok,compiles,1,5.5,fcf98011ad2d
junit4-0090,junit4,org/junit/internal/Throwables.java,field,"org.junit.internal.Throwables#TEST_FRAMEWORK_METHOD_NAME_PREFIXES",ok,compiles,1,5.2,d471e0c8d373,ok,compiles,1,5.5,d471e0c8d373
junit4-0091,junit4,org/junit/internal/runners/statements/RunAfters.java,method,"org.junit.internal.runners.statements.RunAfters#invokeMethod(FrameworkMethod)",ok,compiles,5,5.9,953f1fd614aa,ok,compiles,5,5.9,953f1fd614aa
junit4-0092,junit4,junit/framework/Assert.java,method,"junit.framework.Assert#assertEquals(boolean,boolean)",ok,compiles,1,4.9,2f095d92fcad,ok,compiles,1,4.9,2f095d92fcad
junit4-0093,junit4,org/junit/Assert.java,method,"org.junit.Assert#formatClass(Class<?>)",ok,compiles,1,5.1,996d97afa435,ok,compiles,1,4.7,996d97afa435
junit4-0094,junit4,org/junit/runner/manipulation/Filter.java,field,"org.junit.runner.manipulation.Filter#ALL",ok,compiles,3,6.0,395f360977a9,ok,compiles,3,5.3,395f360977a9
junit4-0095,junit4,org/junit/rules/Timeout.java,field,"org.junit.rules.Timeout#timeout",ok,compiles,2,4.2,0c0e472c04ff,ok,compiles,2,4.9,0c0e472c04ff
junit4-0096,junit4,org/junit/internal/matchers/ThrowableCauseMatcher.java,method,"org.junit.internal.matchers.ThrowableCauseMatcher#ThrowableCauseMatcher(Matcher<?>)",ok,fails,4,5.7,c217d1a414eb,ok,fails,4,5.4,c217d1a414eb
junit4-0097,junit4,org/junit/rules/Timeout.java,method,"org.junit.rules.Timeout.Builder#getLookingForStuckThread()",ok,compiles,2,5.4,05cca3566d63,ok,compiles,2,5.2,05cca3566d63
junit4-0098,junit4,org/junit/rules/TestWatchman.java,method,"org.junit.rules.TestWatchman#starting(FrameworkMethod)",ok,compiles,5,5.9,88e9672301a3,ok,compiles,5,6.1,88e9672301a3
junit4-0099,junit4,org/junit/experimental/max/MaxCore.java,method,"org.junit.experimental.max.MaxCore#constructLeafRequest(List<Description>)",ok,compiles,12,6.4,3312033b859c,ok,compiles,12,6.7,3312033b859c
junit4-0100,junit4,junit/framework/TestSuite.java,method,"junit.framework.TestSuite#TestSuite(Class<?>)",ok,compiles,2,5.0,712c25f59798,ok,compiles,2,5.2,712c25f59798
retrofit-0001,retrofit,retrofit2/Converter.java,method,"retrofit2.Converter.Factory#getRawType(Type)",ok,compiles,2,6.2,9d5ff102d969,ok,compiles,2,5.4,9d5ff102d969
retrofit-0002,retrofit,retrofit2/Utils.java,method,"retrofit2.Utils#isAnnotationPresent(Annotation[],Class<?extendsAnnotation>)",ok,compiles,1,5.6,3b8cbcf32969,ok,compiles,1,6.4,3b8cbcf32969
retrofit-0003,retrofit,retrofit2/HttpException.java,method,"retrofit2.HttpException#response()",ok,compiles,3,6.3,d32b7d0ad808,ok,compiles,3,5.5,d32b7d0ad808
retrofit-0004,retrofit,retrofit2/BuiltInConverters.java,method,"retrofit2.BuiltInConverters.RequestBodyConverter#convert(RequestBody)",ok,fails,3,5.3,612b89faa87a,ok,fails,3,5.3,612b89faa87a
retrofit-0005,retrofit,retrofit2/Retrofit.java,method,"retrofit2.Retrofit.Builder#baseUrl(URL)",ok,fails,2,5.6,d1a4ea7f7609,ok,fails,2,6.2,d1a4ea7f7609
