id,repo,target_file,kind,signature,base_status,base_compiles,base_files,base_secs,new_status,new_compiles,new_files,new_secs
checkstyle-0123,checkstyle,com/puppycrawl/tools/checkstyle/checks/naming/GoogleMethodNameCheck.java,field,"com.puppycrawl.tools.checkstyle.checks.naming.GoogleMethodNameCheck#MSG_KEY_FORMAT_TEST",ok,compiles,7,23.5,ok,compiles,7,24.0
checkstyle-0124,checkstyle,com/puppycrawl/tools/checkstyle/gui/ParseTreeTablePresentation.java,method,"com.puppycrawl.tools.checkstyle.gui.ParseTreeTablePresentation#setRoot(DetailAST)",ok,compiles,2,20.5,ok,compiles,2,20.7
checkstyle-0125,checkstyle,com/puppycrawl/tools/checkstyle/checks/indentation/NewHandler.java,method,"com.puppycrawl.tools.checkstyle.checks.indentation.NewHandler#isParentAssignReturnOrThrow(DetailAST)",ok,compiles,5,19.8,ok,compiles,5,28.5
checkstyle-0126,checkstyle,com/puppycrawl/tools/checkstyle/checks/coding/VariableDeclarationUsageDistanceCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.coding.VariableDeclarationUsageDistanceCheck#getFirstNodeInsideIfBlock(DetailAST,DetailAST)",ok,compiles,10,21.3,ok,compiles,10,28.4
checkstyle-0127,checkstyle,com/puppycrawl/tools/checkstyle/DetailAstImpl.java,method,"com.puppycrawl.tools.checkstyle.DetailAstImpl#getParent()",ok,compiles,2,22.2,ok,compiles,2,28.7
checkstyle-0128,checkstyle,com/puppycrawl/tools/checkstyle/checks/imports/ImportControlLoader.java,method,"com.puppycrawl.tools.checkstyle.checks.imports.ImportControlLoader#startElement(String,String,String,Attributes)",ok,compiles,7,32.9,ok,compiles,7,28.5
checkstyle-0129,checkstyle,com/puppycrawl/tools/checkstyle/checks/regexp/DetectorOptions.java,method,"com.puppycrawl.tools.checkstyle.checks.regexp.DetectorOptions#DetectorOptions()",ok,compiles,1,27.3,ok,compiles,1,23.8
checkstyle-0130,checkstyle,com/puppycrawl/tools/checkstyle/gui/BaseCellEditor.java,method,"com.puppycrawl.tools.checkstyle.gui.BaseCellEditor#removeCellEditorListener(CellEditorListener)",ok,compiles,1,26.8,ok,compiles,1,25.4
checkstyle-0131,checkstyle,com/puppycrawl/tools/checkstyle/checks/indentation/LineWrappingHandler.java,method,"com.puppycrawl.tools.checkstyle.checks.indentation.LineWrappingHandler#checkIndentation(DetailAST,DetailAST,int,int,LineWrappingOptions)",ok,compiles,4,27.1,ok,compiles,4,28.1
checkstyle-0132,checkstyle,com/puppycrawl/tools/checkstyle/checks/naming/MemberNameCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.naming.MemberNameCheck#mustCheckName(DetailAST)",crash,na,0,23.3,crash,na,0,22.2
checkstyle-0133,checkstyle,com/puppycrawl/tools/checkstyle/checks/coding/TextBlockGoogleStyleFormattingCheck.java,field,"com.puppycrawl.tools.checkstyle.checks.coding.TextBlockGoogleStyleFormattingCheck#MSG_TEXT_BLOCK_CONTENT",ok,compiles,7,30.8,ok,compiles,7,27.0
checkstyle-0134,checkstyle,com/puppycrawl/tools/checkstyle/checks/coding/RequireThisCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.coding.RequireThisCheck.AbstractFrame#AbstractFrame(AbstractFrame,DetailAST)",ok,compiles,8,24.4,ok,compiles,8,24.8
checkstyle-0135,checkstyle,com/puppycrawl/tools/checkstyle/api/JavadocCommentsTokenTypes.java,field,"com.puppycrawl.tools.checkstyle.api.JavadocCommentsTokenTypes#HTML_CONTENT",ok,compiles,2,24.7,ok,compiles,2,25.1
checkstyle-0136,checkstyle,com/puppycrawl/tools/checkstyle/checks/javadoc/AbstractJavadocCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.javadoc.AbstractJavadocCheck#getRequiredTokens()",crash,na,0,24.2,crash,na,0,24.4
checkstyle-0137,checkstyle,com/puppycrawl/tools/checkstyle/checks/imports/IllegalImportCheck.java,field,"com.puppycrawl.tools.checkstyle.checks.imports.IllegalImportCheck#illegalClasses",ok,compiles,7,26.3,ok,compiles,7,27.4
checkstyle-0138,checkstyle,com/puppycrawl/tools/checkstyle/checks/coding/IllegalSymbolCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.coding.IllegalSymbolCheck#getRequiredTokens()",crash,na,0,25.9,crash,na,0,25.2
checkstyle-0139,checkstyle,com/puppycrawl/tools/checkstyle/Checker.java,field,"com.puppycrawl.tools.checkstyle.Checker#localeLanguage",crash,na,0,19.6,crash,na,0,19.0
checkstyle-0140,checkstyle,com/puppycrawl/tools/checkstyle/checks/AvoidEscapedUnicodeCharactersCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.AvoidEscapedUnicodeCharactersCheck#isAllCharactersEscaped(String)",ok,compiles,7,24.3,ok,compiles,7,22.9
checkstyle-0141,checkstyle,com/puppycrawl/tools/checkstyle/checks/whitespace/EmptyForInitializerPadCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.whitespace.EmptyForInitializerPadCheck#setOption(String)",ok,compiles,8,25.2,ok,compiles,8,23.2
checkstyle-0142,checkstyle,com/puppycrawl/tools/checkstyle/checks/UncommentedMainCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.UncommentedMainCheck#checkType(DetailAST)",ok,compiles,13,25.8,ok,compiles,13,26.9
checkstyle-0143,checkstyle,com/puppycrawl/tools/checkstyle/checks/indentation/IndentLevel.java,method,"com.puppycrawl.tools.checkstyle.checks.indentation.IndentLevel#IndentLevel(IndentLevel,int)",ok,compiles,1,20.4,ok,compiles,1,18.6
checkstyle-0144,checkstyle,com/puppycrawl/tools/checkstyle/checks/DescendantTokenCheck.java,field,"com.puppycrawl.tools.checkstyle.checks.DescendantTokenCheck#MSG_KEY_MIN",ok,compiles,7,24.6,ok,compiles,7,26.1
checkstyle-0145,checkstyle,com/puppycrawl/tools/checkstyle/checks/UncommentedMainCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.UncommentedMainCheck#visitPackageDef(DetailAST)",ok,compiles,9,24.4,ok,compiles,9,27.0
checkstyle-0146,checkstyle,com/puppycrawl/tools/checkstyle/api/TokenTypes.java,field,"com.puppycrawl.tools.checkstyle.api.TokenTypes#BSR",ok,compiles,2,23.6,ok,compiles,2,20.2
checkstyle-0147,checkstyle,com/puppycrawl/tools/checkstyle/checks/whitespace/EmptyLineSeparatorCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.whitespace.EmptyLineSeparatorCheck#EmptyLineSeparatorCheck()",ok,compiles,7,23.2,ok,compiles,7,20.6
checkstyle-0148,checkstyle,com/puppycrawl/tools/checkstyle/checks/coding/NoArrayTrailingCommaCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.coding.NoArrayTrailingCommaCheck#getRequiredTokens()",crash,na,0,22.5,crash,na,0,19.3
checkstyle-0149,checkstyle,com/puppycrawl/tools/checkstyle/checks/whitespace/GenericWhitespaceCheck.java,field,"com.puppycrawl.tools.checkstyle.checks.whitespace.GenericWhitespaceCheck#CLOSE_ANGLE_BRACKET",ok,compiles,7,22.6,ok,compiles,7,16.3
checkstyle-0150,checkstyle,com/puppycrawl/tools/checkstyle/checks/imports/UnnecessaryFullyQualifiedTypeCheck.java,field,"com.puppycrawl.tools.checkstyle.checks.imports.UnnecessaryFullyQualifiedTypeCheck#UNQUALIFIED_MARKER",ok,compiles,7,23.1,ok,compiles,7,15.2
commons-io-0001,commons-io,org/apache/commons/io/input/BOMInputStream.java,method,"org.apache.commons.io.input.BOMInputStream#getBOM()",ok,compiles,3,8.8,ok,compiles,3,10.6
commons-io-0002,commons-io,org/apache/commons/io/input/QueueInputStream.java,method,"org.apache.commons.io.input.QueueInputStream.Builder#get()",ok,compiles,5,14.5,ok,compiles,5,15.4
commons-io-0003,commons-io,org/apache/commons/io/FileUtils.java,method,"org.apache.commons.io.FileUtils#mkdirs(File)",ok,compiles,1,11.3,ok,compiles,1,12.4
commons-io-0004,commons-io,org/apache/commons/io/input/Tailer.java,method,"org.apache.commons.io.input.Tailer#getRun()",ok,compiles,1,14.5,ok,compiles,1,14.2
commons-io-0005,commons-io,org/apache/commons/io/FileUtils.java,method,"org.apache.commons.io.FileUtils#checkIsFile(File,String)",ok,compiles,1,13.4,ok,compiles,1,13.3
commons-io-0006,commons-io,org/apache/commons/io/build/AbstractStreamBuilder.java,method,"org.apache.commons.io.build.AbstractStreamBuilder#getInputStream()",ok,compiles,5,13.1,ok,compiles,5,15.3
commons-io-0007,commons-io,org/apache/commons/io/IOUtils.java,method,"org.apache.commons.io.IOUtils#readFully(Reader,char[])",ok,compiles,1,15.1,ok,compiles,1,14.0
commons-io-0008,commons-io,org/apache/commons/io/comparator/ExtensionFileComparator.java,field,"org.apache.commons.io.comparator.ExtensionFileComparator#EXTENSION_SYSTEM_COMPARATOR",ok,compiles,4,13.9,ok,compiles,4,16.4
